path,sign,total_frame
data/dani/raw_landmarks/Resep Obat Sakit Gigi_17.parquet,sakit,46
data/dani/raw_landmarks/Resep Obat Sakit Gigi_18.parquet,gigi,39
data/dani/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,resep,48
data/dani/raw_landmarks/Resep Obat Sakit Gigi_20.parquet,obat,27
data/dani/raw_landmarks/Resep Obat Sakit Gigi_21.parquet,sakit,52
data/dani/raw_landmarks/Resep Obat Sakit Gigi_22.parquet,gigi,40
data/dani/raw_landmarks/Resep Obat Sakit Kepala_0.parquet,resep,30
data/dani/raw_landmarks/Resep Obat Sakit Kepala_1.parquet,obat,22
data/dani/raw_landmarks/Resep Obat Sakit Kepala_2.parquet,sakit,21
data/dani/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,37
data/dani/raw_landmarks/Resep Obat Sakit Kepala_4.parquet,resep,32
data/dani/raw_landmarks/Resep Obat Sakit Kepala_5.parquet,obat,23
data/dani/raw_landmarks/Resep Obat Sakit Kepala_6.parquet,sakit,24
data/dani/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,49
data/dani/raw_landmarks/Resep Obat Sakit Kepala_8.parquet,resep,39
data/dani/raw_landmarks/Resep Obat Sakit Kepala_9.parquet,obat,30
data/dani/raw_landmarks/Resep Obat Sakit Kepala_10.parquet,sakit,33
data/dani/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,40
data/dani/raw_landmarks/Resep Obat Sakit Kepala_12.parquet,resep,38
data/dani/raw_landmarks/Resep Obat Sakit Kepala_13.parquet,obat,24
data/dani/raw_landmarks/Resep Obat Sakit Kepala_14.parquet,sakit,29
data/dani/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,41
data/dani/raw_landmarks/Resep Obat Sakit Kepala_16.parquet,resep,32
data/dani/raw_landmarks/Resep Obat Sakit Kepala_17.parquet,obat,21
data/dani/raw_landmarks/Resep Obat Sakit Kepala_18.parquet,sakit,24
data/dani/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,41
data/dani/raw_landmarks/Resep Obat Sakit Kepala_20.parquet,resep,40
data/dani/raw_landmarks/Resep Obat Sakit Kepala_21.parquet,sakit,25
data/dani/raw_landmarks/Resep Obat Sakit Kepala_22.parquet,kepala,38
data/dani/raw_landmarks/Resep Obat Sakit Perut_0.parquet,resep,30
data/dani/raw_landmarks/Resep Obat Sakit Perut_1.parquet,obat,27
data/dani/raw_landmarks/Resep Obat Sakit Perut_2.parquet,sakit,34
data/dani/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,30
data/dani/raw_landmarks/Resep Obat Sakit Perut_4.parquet,resep,25
data/dani/raw_landmarks/Resep Obat Sakit Perut_5.parquet,obat,34
data/dani/raw_landmarks/Resep Obat Sakit Perut_6.parquet,sakit,38
data/dani/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,28
data/dani/raw_landmarks/Resep Obat Sakit Perut_8.parquet,resep,32
data/dani/raw_landmarks/Resep Obat Sakit Perut_9.parquet,obat,26
data/dani/raw_landmarks/Resep Obat Sakit Perut_10.parquet,sakit,32
data/dani/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,38
data/dani/raw_landmarks/Resep Obat Sakit Perut_12.parquet,resep,30
data/dani/raw_landmarks/Resep Obat Sakit Perut_13.parquet,sakit,38
data/dani/raw_landmarks/Resep Obat Sakit Perut_14.parquet,perut,21
data/dani/raw_landmarks/Resep Obat Sakit Perut_15.parquet,resep,34
data/dani/raw_landmarks/Resep Obat Sakit Perut_16.parquet,obat,26
data/dani/raw_landmarks/Resep Obat Sakit Perut_17.parquet,sakit,40
data/dani/raw_landmarks/Resep Obat Sakit Perut_18.parquet,perut,33
data/dani/raw_landmarks/Resep Obat Sakit Perut_19.parquet,resep,32
data/dani/raw_landmarks/Resep Obat Sakit Perut_20.parquet,obat,34
data/dani/raw_landmarks/Resep Obat Sakit Perut_21.parquet,sakit,37
data/dani/raw_landmarks/Resep Obat Sakit Perut_22.parquet,perut,26
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_0.parquet,minum,49
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_1.parquet,obat,40
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_2.parquet,sakit,30
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,37
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_4.parquet,minum,46
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_5.parquet,obat,37
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_6.parquet,sakit,32
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,34
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_8.parquet,minum,48
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_9.parquet,obat,41
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_10.parquet,sakit,29
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,39
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_12.parquet,minum,44
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_13.parquet,obat,37
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_14.parquet,sakit,26
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,29
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_16.parquet,minum,40
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_17.parquet,obat,38
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_18.parquet,sakit,25
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,30
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_20.parquet,minum,42
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_21.parquet,obat,39
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_22.parquet,sakit,26
data/dzikri/raw_landmarks/Minum Obat Sakit Kepala_23.parquet,kepala,34
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_0.parquet,minum,52
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_1.parquet,obat,30
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_2.parquet,sakit,26
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,32
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_4.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_5.parquet,obat,35
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_6.parquet,sakit,25
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,32
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_8.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_9.parquet,obat,34
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_10.parquet,sakit,28
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,29
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_12.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_13.parquet,obat,36
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_14.parquet,sakit,30
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,31
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_16.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_17.parquet,obat,37
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_18.parquet,sakit,25
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,30
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_20.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_21.parquet,obat,36
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_22.parquet,sakit,27
data/dzikri/raw_landmarks/Minum Obat Sakit Perut_23.parquet,perut,32
data/dzikri/raw_landmarks/Minum Obat Batuk_0.parquet,minum,45
data/dzikri/raw_landmarks/Minum Obat Batuk_1.parquet,obat,28
data/dzikri/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,28
data/dzikri/raw_landmarks/Minum Obat Batuk_3.parquet,minum,41
data/dzikri/raw_landmarks/Minum Obat Batuk_4.parquet,obat,28
data/dzikri/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,27
data/dzikri/raw_landmarks/Minum Obat Batuk_6.parquet,minum,28
data/dzikri/raw_landmarks/Minum Obat Batuk_7.parquet,obat,27
data/dzikri/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,29
data/dzikri/raw_landmarks/Minum Obat Batuk_9.parquet,minum,37
data/dzikri/raw_landmarks/Minum Obat Batuk_10.parquet,obat,29
data/dzikri/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,24
data/dzikri/raw_landmarks/Minum Obat Batuk_12.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Batuk_13.parquet,obat,24
data/dzikri/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,24
data/dzikri/raw_landmarks/Minum Obat Demam_0.parquet,minum,40
data/dzikri/raw_landmarks/Minum Obat Demam_1.parquet,obat,32
data/dzikri/raw_landmarks/Minum Obat Demam_2.parquet,demam,31
data/dzikri/raw_landmarks/Minum Obat Demam_3.parquet,minum,38
data/dzikri/raw_landmarks/Minum Obat Demam_4.parquet,obat,25
data/dzikri/raw_landmarks/Minum Obat Demam_5.parquet,demam,36
data/dzikri/raw_landmarks/Minum Obat Demam_6.parquet,minum,48
data/dzikri/raw_landmarks/Minum Obat Demam_7.parquet,obat,41
data/dzikri/raw_landmarks/Minum Obat Demam_8.parquet,demam,31
data/dzikri/raw_landmarks/Minum Obat Demam_9.parquet,minum,43
data/dzikri/raw_landmarks/Minum Obat Demam_10.parquet,obat,34
data/dzikri/raw_landmarks/Minum Obat Demam_11.parquet,demam,29
data/dzikri/raw_landmarks/Minum Obat Demam_12.parquet,minum,45
data/dzikri/raw_landmarks/Minum Obat Demam_13.parquet,obat,35
data/dzikri/raw_landmarks/Minum Obat Demam_14.parquet,demam,29
data/dzikri/raw_landmarks/Minum Obat Demam_15.parquet,minum,43
data/dzikri/raw_landmarks/Minum Obat Demam_16.parquet,obat,26
data/dzikri/raw_landmarks/Minum Obat Demam_17.parquet,demam,28
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_0.parquet,minum,50
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_1.parquet,obat,28
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_2.parquet,sakit,30
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,26
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_4.parquet,minum,42
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_5.parquet,obat,23
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_6.parquet,sakit,29
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,29
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_8.parquet,minum,42
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_9.parquet,obat,22
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_10.parquet,sakit,27
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,28
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_12.parquet,minum,41
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_13.parquet,obat,25
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_14.parquet,sakit,27
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,27
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_16.parquet,minum,41
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_17.parquet,obat,25
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_18.parquet,sakit,30
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,24
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_20.parquet,minum,37
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_21.parquet,obat,31
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_22.parquet,sakit,24
data/dzikri/raw_landmarks/Minum Obat Sakit Gigi_23.parquet,obat,24
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_0.parquet,resep,28
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_1.parquet,obat,33
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_2.parquet,sakit,33
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_3.parquet,perut,42
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_4.parquet,obat,23
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_5.parquet,resep,37
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_6.parquet,sakit,31
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_7.parquet,perut,37
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_8.parquet,resep,27
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_9.parquet,obat,30
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_10.parquet,sakit,26
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_11.parquet,perut,37
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_12.parquet,resep,22
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_13.parquet,obat,29
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_14.parquet,sakit,34
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_15.parquet,perut,32
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_16.parquet,resep,22
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_17.parquet,obat,23
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_18.parquet,sakit,27
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_19.parquet,perut,40
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_20.parquet,resep,25
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_21.parquet,obat,28
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_22.parquet,sakit,32
data/dzikri/raw_landmarks/Resep Obat Sakit Perut_23.parquet,perut,34
data/dzikri/raw_landmarks/Resep Obat Batuk_0.parquet,resep,35
data/dzikri/raw_landmarks/Resep Obat Batuk_1.parquet,obat,30
data/dzikri/raw_landmarks/Resep Obat Batuk_2.parquet,batuk,32
data/dzikri/raw_landmarks/Resep Obat Batuk_3.parquet,resep,35
data/dzikri/raw_landmarks/Resep Obat Batuk_4.parquet,obat,32
data/dzikri/raw_landmarks/Resep Obat Batuk_5.parquet,batuk,31
data/dzikri/raw_landmarks/Resep Obat Batuk_6.parquet,resep,32
data/dzikri/raw_landmarks/Resep Obat Batuk_7.parquet,obat,33
data/dzikri/raw_landmarks/Resep Obat Batuk_8.parquet,batuk,33
data/dzikri/raw_landmarks/Resep Obat Batuk_9.parquet,resep,31
data/dzikri/raw_landmarks/Resep Obat Batuk_10.parquet,obat,38
data/dzikri/raw_landmarks/Resep Obat Batuk_11.parquet,batuk,38
data/dzikri/raw_landmarks/Resep Obat Batuk_12.parquet,resep,33
data/dzikri/raw_landmarks/Resep Obat Batuk_13.parquet,obat,27
data/dzikri/raw_landmarks/Resep Obat Batuk_14.parquet,batuk,33
data/dzikri/raw_landmarks/Resep Obat Batuk_15.parquet,resep,33
data/dzikri/raw_landmarks/Resep Obat Batuk_16.parquet,obat,28
data/dzikri/raw_landmarks/Resep Obat Batuk_17.parquet,batuk,32
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_0.parquet,resep,29
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_1.parquet,obat,32
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_2.parquet,sakit,33
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,30
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_4.parquet,resep,29
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_5.parquet,obat,29
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_6.parquet,sakit,35
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,30
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_8.parquet,resep,26
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_9.parquet,obat,32
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,sakit,37
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_11.parquet,gigi,28
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_12.parquet,resep,24
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_13.parquet,obat,29
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_14.parquet,sakit,35
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_15.parquet,gigi,28
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_16.parquet,resep,23
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_17.parquet,obat,32
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_18.parquet,sakit,34
data/dzikri/raw_landmarks/Resep Obat Sakit Gigi_19.parquet,gigi,28
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_0.parquet,resep,23
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_1.parquet,obat,28
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_2.parquet,sakit,30
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_3.parquet,kepala,45
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_4.parquet,resep,21
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_5.parquet,obat,29
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_6.parquet,sakit,43
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_7.parquet,kepala,32
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_8.parquet,resep,25
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_9.parquet,obat,25
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_10.parquet,sakit,45
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_11.parquet,kepala,32
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_12.parquet,resep,24
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_13.parquet,obat,24
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_14.parquet,sakit,29
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_15.parquet,kepala,36
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_16.parquet,resep,24
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_17.parquet,obat,27
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_18.parquet,sakit,29
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_19.parquet,kepala,30
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_20.parquet,resep,23
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_21.parquet,obat,28
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_22.parquet,sakit,30
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_23.parquet,kepala,32
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_24.parquet,resep,23
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_25.parquet,obat,27
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_26.parquet,sakit,31
data/dzikri/raw_landmarks/Resep Obat Sakit Kepala_27.parquet,kepala,34
data/imam/raw_landmarks/Minum Obat Sakit Kepala_0.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Sakit Kepala_1.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Sakit Kepala_2.parquet,sakit,44
data/imam/raw_landmarks/Minum Obat Sakit Kepala_3.parquet,kepala,41
data/imam/raw_landmarks/Minum Obat Sakit Kepala_4.parquet,minum,45
data/imam/raw_landmarks/Minum Obat Sakit Kepala_5.parquet,obat,25
data/imam/raw_landmarks/Minum Obat Sakit Kepala_6.parquet,sakit,43
data/imam/raw_landmarks/Minum Obat Sakit Kepala_7.parquet,kepala,44
data/imam/raw_landmarks/Minum Obat Sakit Kepala_8.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Sakit Kepala_9.parquet,obat,22
data/imam/raw_landmarks/Minum Obat Sakit Kepala_10.parquet,sakit,42
data/imam/raw_landmarks/Minum Obat Sakit Kepala_11.parquet,kepala,43
data/imam/raw_landmarks/Minum Obat Sakit Kepala_12.parquet,minum,42
data/imam/raw_landmarks/Minum Obat Sakit Kepala_13.parquet,obat,26
data/imam/raw_landmarks/Minum Obat Sakit Kepala_14.parquet,sakit,39
data/imam/raw_landmarks/Minum Obat Sakit Kepala_15.parquet,kepala,41
data/imam/raw_landmarks/Minum Obat Sakit Kepala_16.parquet,minum,39
data/imam/raw_landmarks/Minum Obat Sakit Kepala_17.parquet,obat,24
data/imam/raw_landmarks/Minum Obat Sakit Kepala_18.parquet,sakit,41
data/imam/raw_landmarks/Minum Obat Sakit Kepala_19.parquet,kepala,38
data/imam/raw_landmarks/Minum Obat Sakit Perut_0.parquet,minum,47
data/imam/raw_landmarks/Minum Obat Sakit Perut_1.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Sakit Perut_2.parquet,sakit,39
data/imam/raw_landmarks/Minum Obat Sakit Perut_3.parquet,perut,40
data/imam/raw_landmarks/Minum Obat Sakit Perut_4.parquet,minum,50
data/imam/raw_landmarks/Minum Obat Sakit Perut_5.parquet,obat,24
data/imam/raw_landmarks/Minum Obat Sakit Perut_6.parquet,sakit,40
data/imam/raw_landmarks/Minum Obat Sakit Perut_7.parquet,perut,40
data/imam/raw_landmarks/Minum Obat Sakit Perut_8.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Sakit Perut_9.parquet,obat,22
data/imam/raw_landmarks/Minum Obat Sakit Perut_10.parquet,sakit,46
data/imam/raw_landmarks/Minum Obat Sakit Perut_11.parquet,perut,29
data/imam/raw_landmarks/Minum Obat Sakit Perut_12.parquet,minum,50
data/imam/raw_landmarks/Minum Obat Sakit Perut_13.parquet,obat,24
data/imam/raw_landmarks/Minum Obat Sakit Perut_14.parquet,sakit,38
data/imam/raw_landmarks/Minum Obat Sakit Perut_15.parquet,perut,31
data/imam/raw_landmarks/Minum Obat Sakit Perut_16.parquet,minum,42
data/imam/raw_landmarks/Minum Obat Sakit Perut_17.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Sakit Perut_18.parquet,sakit,39
data/imam/raw_landmarks/Minum Obat Sakit Perut_19.parquet,perut,37
data/imam/raw_landmarks/Minum Obat Batuk_0.parquet,minum,42
data/imam/raw_landmarks/Minum Obat Batuk_1.parquet,obat,29
data/imam/raw_landmarks/Minum Obat Batuk_2.parquet,batuk,26
data/imam/raw_landmarks/Minum Obat Batuk_3.parquet,minum,37
data/imam/raw_landmarks/Minum Obat Batuk_4.parquet,obat,26
data/imam/raw_landmarks/Minum Obat Batuk_5.parquet,batuk,28
data/imam/raw_landmarks/Minum Obat Batuk_6.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Batuk_7.parquet,obat,29
data/imam/raw_landmarks/Minum Obat Batuk_8.parquet,batuk,30
data/imam/raw_landmarks/Minum Obat Batuk_9.parquet,minum,45
data/imam/raw_landmarks/Minum Obat Batuk_10.parquet,obat,24
data/imam/raw_landmarks/Minum Obat Batuk_11.parquet,batuk,33
data/imam/raw_landmarks/Minum Obat Batuk_12.parquet,minum,41
data/imam/raw_landmarks/Minum Obat Batuk_13.parquet,obat,20
data/imam/raw_landmarks/Minum Obat Batuk_14.parquet,batuk,37
data/imam/raw_landmarks/Minum Obat Batuk_15.parquet,minum,46
data/imam/raw_landmarks/Minum Obat Batuk_16.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Batuk_17.parquet,batuk,33
data/imam/raw_landmarks/Minum Obat Batuk_18.parquet,minum,48
data/imam/raw_landmarks/Minum Obat Batuk_19.parquet,obat,34
data/imam/raw_landmarks/Minum Obat Batuk_20.parquet,batuk,30
data/imam/raw_landmarks/Minum Obat Demam_0.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Demam_1.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Demam_2.parquet,demam,45
data/imam/raw_landmarks/Minum Obat Demam_3.parquet,minum,48
data/imam/raw_landmarks/Minum Obat Demam_4.parquet,obat,26
data/imam/raw_landmarks/Minum Obat Demam_5.parquet,demam,41
data/imam/raw_landmarks/Minum Obat Demam_6.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Demam_7.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Demam_8.parquet,demam,44
data/imam/raw_landmarks/Minum Obat Demam_9.parquet,minum,57
data/imam/raw_landmarks/Minum Obat Demam_10.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Demam_11.parquet,demam,39
data/imam/raw_landmarks/Minum Obat Demam_12.parquet,minum,51
data/imam/raw_landmarks/Minum Obat Demam_13.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Demam_14.parquet,demam,41
data/imam/raw_landmarks/Minum Obat Demam_15.parquet,minum,51
data/imam/raw_landmarks/Minum Obat Demam_16.parquet,obat,29
data/imam/raw_landmarks/Minum Obat Demam_17.parquet,demam,40
data/imam/raw_landmarks/Minum Obat Sakit Gigi_0.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Sakit Gigi_1.parquet,obat,23
data/imam/raw_landmarks/Minum Obat Sakit Gigi_2.parquet,sakit,40
data/imam/raw_landmarks/Minum Obat Sakit Gigi_3.parquet,gigi,45
data/imam/raw_landmarks/Minum Obat Sakit Gigi_4.parquet,minum,44
data/imam/raw_landmarks/Minum Obat Sakit Gigi_5.parquet,obat,29
data/imam/raw_landmarks/Minum Obat Sakit Gigi_6.parquet,sakit,39
data/imam/raw_landmarks/Minum Obat Sakit Gigi_7.parquet,gigi,40
data/imam/raw_landmarks/Minum Obat Sakit Gigi_8.parquet,minum,43
data/imam/raw_landmarks/Minum Obat Sakit Gigi_9.parquet,obat,26
data/imam/raw_landmarks/Minum Obat Sakit Gigi_10.parquet,sakit,40
data/imam/raw_landmarks/Minum Obat Sakit Gigi_11.parquet,gigi,42
data/imam/raw_landmarks/Minum Obat Sakit Gigi_12.parquet,minum,47
data/imam/raw_landmarks/Minum Obat Sakit Gigi_13.parquet,obat,27
data/imam/raw_landmarks/Minum Obat Sakit Gigi_14.parquet,sakit,45
data/imam/raw_landmarks/Minum Obat Sakit Gigi_15.parquet,gigi,34
data/imam/raw_landmarks/Minum Obat Sakit Gigi_16.parquet,minum,43
data/imam/raw_landmarks/Minum Obat Sakit Gigi_17.parquet,obat,27
data/imam/raw_landmarks/Minum Obat Sakit Gigi_18.parquet,sakit,43
data/imam/raw_landmarks/Minum Obat Sakit Gigi_19.parquet,gigi,37
data/imam/raw_landmarks/Resep Obat Sakit Gigi_0.parquet,resep,37
data/imam/raw_landmarks/Resep Obat Sakit Gigi_1.parquet,obat,25
data/imam/raw_landmarks/Resep Obat Sakit Gigi_2.parquet,sakit,37
data/imam/raw_landmarks/Resep Obat Sakit Gigi_3.parquet,gigi,27
data/imam/raw_landmarks/Resep Obat Sakit Gigi_4.parquet,resep,37
data/imam/raw_landmarks/Resep Obat Sakit Gigi_5.parquet,obat,27
data/imam/raw_landmarks/Resep Obat Sakit Gigi_6.parquet,sakit,40
data/imam/raw_landmarks/Resep Obat Sakit Gigi_7.parquet,gigi,28
data/imam/raw_landmarks/Resep Obat Sakit Gigi_8.parquet,resep,36
data/imam/raw_landmarks/Resep Obat Sakit Gigi_9.parquet,obat,21
data/imam/raw_landmarks/Resep Obat Sakit Gigi_10.parquet,sakit,40
